Location,Rooms,Daily Inflation(%)
Aksu,1+1,0.1394131824364553
Aksu,1.5+1,0.0
Aksu,2+1,0.4589992331755112
Aksu,3+1,1.8848918968740909
Aksu,4+1,-7.004538577912246
Aksu,5+1,8.646616541353383
Aksu,7+1,0.0
Aksu/Köyler,1+1,-0.6079027355623144
Aksu/Köyler,2+1,1.8313689936536717
Aksu/Köyler,3+1,3.4538152610441823
Aksu/Köyler,4+1,0.0
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+1,0.0
Aksu/Köyler,6+2,0.0
Aksu/Köyler,8+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Çalkaya,1+1,0.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,-1.3645118714944822
Alanya,2+0,12.962962962962962
Alanya,2+1,-1.4407794552118895
Alanya,2+2,0.0
Alanya,2.5+1,-18.0
Alanya,3+1,0.797331859832993
Alanya,3+2,0.0
Alanya,3.5+1,0.0
Alanya,4+1,0.6586613973754848
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,1.1494252873563091
Alanya,6+1,0.0
Alanya,Stüdyo (1+0),11.30289456019946
Alanya/Beldeler,1+1,-0.5742507609145863
Alanya/Beldeler,2+1,-0.9322850922199656
Alanya/Beldeler,2.5+1,0.0
Alanya/Beldeler,3+1,-3.793260473588346
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,-2.6719816868611144
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,0.0
Alanya/Beldeler,Stüdyo (1+0),3.753781935299812
Alanya/Demirtaş,1+1,0.0
Alanya/Köyler,1+1,-6.25
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,0.0
Alanya/Köyler,3+1,-31.33159268929504
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,-14.754098360655737
Alanya/İncekum (Yeşilköy),3+1,0.0
Alanya/İncekum (Yeşilköy),4+1,0.0
Demre/Kale(Demre),1+1,-21.875
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,-8.149411133213349
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,0.0
Demre/Kale(Demre),4+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Köyler,1+1,0.0
Demre/Köyler,2+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
Döşemealtı/Köyler,0,0.0
Döşemealtı/Köyler,2+1,0.0
Döşemealtı/Köyler,3+1,-13.00813008130082
Döşemealtı/Merkez,1,0.0
Döşemealtı/Merkez,1+1,-0.7872515166502478
Döşemealtı/Merkez,2+0,0.0
Döşemealtı/Merkez,2+1,6.815626756604831
Döşemealtı/Merkez,3+1,1.4514000879636395
Döşemealtı/Merkez,4+1,1.4144271570014062
Döşemealtı/Merkez,5+1,0.0
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,7+1,0.0
Döşemealtı/Merkez,8+1,0.0
