Location,Rooms,Weekly Inflation(%)
Aksu,1+1,-0.3954328466728434
Aksu,1.5+1,0.0
Aksu,2+0,0.0
Aksu,2+1,-2.771730182439253
Aksu,3+1,-0.11079519741830156
Aksu,4+1,10.443722943722943
Aksu,4+2,0.0
Aksu,5+1,10.719530102790019
Aksu,6+1,0.0
Aksu,7+1,0.0
Aksu,Stüdyo (1+0),148.27586206896552
Aksu/Köyler,1+1,-4.759358288770052
Aksu/Köyler,2+1,2.9066171923314816
Aksu/Köyler,3+1,2.8795079675705884
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,0.0
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,-20.992366412213737
Aksu/Pınarlı,2+1,-4.255319148936167
Aksu/Pınarlı,3+1,0.0
Aksu/Pınarlı,6+1,0.0
Aksu/Pınarlı,Stüdyo (1+0),0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,3.7121474398555105
Alanya,1.5+1,0.0
Alanya,2+0,0.8333333333333334
Alanya,2+1,5.276713248127178
Alanya,2+2,0.0
Alanya,2.5+1,-14.893617021276595
Alanya,3+1,0.9879149238852251
Alanya,3+2,0.0
Alanya,3.5+1,-6.666666666666667
Alanya,4+1,-2.1672960937940347
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,16.666190476190472
Alanya,6+1,0.0
Alanya,Stüdyo (1+0),11.76470588235294
Alanya/Beldeler,1+1,0.6102189546976049
Alanya/Beldeler,2+1,3.5437026531037743
Alanya/Beldeler,2.5+1,0.0
Alanya/Beldeler,3+1,3.985373861112146
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,-0.8912655971479553
Alanya/Beldeler,4+2,0.0
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,-36.283185840707965
Alanya/Beldeler,6+2,0.0
Alanya/Beldeler,Stüdyo (1+0),-22.248803827751196
Alanya/Demirtaş,1+1,-14.89361702127659
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,0.0
Alanya/Köyler,2+1,-4.722222222222227
Alanya/Köyler,3+1,31.249999999999993
Alanya/Köyler,4+1,0.0
Alanya/Köyler,Stüdyo (1+0),0.0
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,-10.652920962199309
Alanya/İncekum (Yeşilköy),3+1,-84.7029702970297
Alanya/İncekum (Yeşilköy),4+1,0.0
Demre/Kale(Demre),1+1,-12.977099236641221
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,15.114503816793901
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,5.3537284894837365
Demre/Kale(Demre),5+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Kale(Demre),Stüdyo (1+0),0.0
Demre/Köyler,1+1,0.0
Demre/Köyler,2+1,28.57142857142857
Döşemealtı/Düzlerçamı,1+1,0.0
Döşemealtı/Düzlerçamı,3+1,-61.904761904761905
Döşemealtı/Düzlerçamı,4+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
Döşemealtı/Düzlerçamı,6+1,0.0
Döşemealtı/Köyler,2+1,-18.81188118811881
Döşemealtı/Köyler,3+1,0.0
Döşemealtı/Merkez,1+1,0.4801392693071326
Döşemealtı/Merkez,2+1,-6.264563106796113
Döşemealtı/Merkez,3+1,8.024691358024693
Döşemealtı/Merkez,4+1,-7.102275079226689
Döşemealtı/Merkez,5+1,8.035714285714281
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,0.0
Döşemealtı/Merkez,6+3,0.0
Döşemealtı/Merkez,7+1,0.0
Döşemealtı/Merkez,Stüdyo (1+0),0.0
Döşemealtı/Yeniköy,1+1,-1.951674436167888
Döşemealtı/Yeniköy,2+0,-5.88235294117647
Döşemealtı/Yeniköy,2+1,-2.6876113852470565
Döşemealtı/Yeniköy,2.5+1,0.0
Döşemealtı/Yeniköy,3+1,-5.311915584013482
Döşemealtı/Yeniköy,4+1,17.906976744186036
Döşemealtı/Yeniköy,5+1,-27.77777777777778
Döşemealtı/Yeniköy,Stüdyo (1+0),-14.285714285714285
Döşemealtı/Yeşilbayır,1+1,9.125235997482678
Döşemealtı/Yeşilbayır,2+1,-37.42331288343557
Döşemealtı/Yeşilbayır,2.5+1,0.0
Döşemealtı/Yeşilbayır,3+1,-7.57346657024521
Döşemealtı/Yeşilbayır,4+1,-3.491912464319692
Döşemealtı/Yeşilbayır,5+1,21.428571428571427
Döşemealtı/Yeşilbayır,5.5+1,0.0
Döşemealtı/Yeşilbayır,6+1,16.57142857142857
Döşemealtı/Yeşilbayır,7+1,0.0
Döşemealtı/Yeşilbayır,8+2,0.0
Döşemealtı/Çığlık,2+1,0.0
Elmalı,1+1,0.0
Elmalı,2+1,7.79816513761468
Elmalı,3+1,0.3058103975535168
Finike,1+1,6.927787570943843
Finike,1.5+1,0.0
Finike,2+1,-0.09954751131221733
Finike,3+1,4.363472784525414
Finike,3.5+1,-7.6923076923076925
Finike,4+1,0.0
Finike/Beldeler,1+1,2.3056382442692724
Finike/Beldeler,2+1,-4.425050434172441
Finike/Beldeler,3+1,7.54855557369021
Finike/Beldeler,4+1,0.0
Gazipaşa,1+1,5.706125425376762
Gazipaşa,2+1,5.170607521278449
Gazipaşa,3+1,6.240487062404876
Gazipaşa,4+1,14.754098360655737
Gazipaşa/Köyler,1+1,-5.0
Gazipaşa/Köyler,2+1,0.0
Gazipaşa/Köyler,3+1,0.0
Kaş,1+1,-2.086956521739131
Kaş,2+1,0.4242190512919455
Kaş,3+1,16.173986486486495
Kaş,4+1,21.878579610538377
Kaş,5+1,0.0
Kaş,Stüdyo (1+0),0.0
Kaş/Kalkan,1+1,3.0802887426499983
Kaş/Kalkan,2+1,-12.224747466723429
Kaş/Kalkan,2.5+1,0.0
Kaş/Kalkan,3+1,-20.72348849170215
Kaş/Kalkan,3.5+1,0.0
Kaş/Kalkan,4+1,-5.718954248366019
Kaş/Kalkan,5+1,-15.842490842490841
Kaş/Kalkan,5+2,0.0
Kaş/Kalkan,6+1,0.0
Kaş/Kalkan,Stüdyo (1+0),0.0
Kaş/Köyler,1+1,13.881493082746022
Kaş/Köyler,2,0.0
Kaş/Köyler,2+1,16.576596051304218
Kaş/Köyler,2+2,8.0
Kaş/Köyler,3+1,52.56769374416432
Kaş/Köyler,3+2,0.0
Kaş/Köyler,4+1,0.0
Kaş/Köyler,5+4,0.0
Kaş/Köyler,8+1,0.0
Kaş/Köyler,Stüdyo (1+0),0.0
Kemer,1+1,1.5535884030418285
Kemer,2+1,12.380127315893654
Kemer,3+1,0.06439979392067258
Kemer,3+2,0.0
Kemer,3.5+1,0.0
Kemer,4+1,-24.12137087972058
Kemer,4+4,0.0
Kemer,5+1,0.0
Kemer,6+1,0.0
Kemer,Stüdyo (1+0),-9.333333333333329
Kemer/Göynük,1+1,-2.7409372236958354
Kemer/Göynük,1.5+1,0.0
Kemer/Göynük,2+1,-4.6413502109704705
Kemer/Göynük,3+1,25.62151192288179
Kemer/Göynük,4+1,0.0
Kemer/Göynük,5+1,0.0
Kemer/Göynük,Stüdyo (1+0),10.405999015696494
Kemer/Köyler,1+1,0.0
Kemer/Köyler,2+1,0.0
Kemer/Köyler,2.5+1,0.0
Kemer/Köyler,3+0,-28.749999999999996
Kemer/Köyler,3+1,7.927927927927928
Kemer/Köyler,Stüdyo (1+0),0.0
Kemer/Tekirova,1+1,0.0
Kemer/Tekirova,2+1,40.0
Kemer/Tekirova,3+1,-26.666666666666668
Kemer/Tekirova,5+1,0.0
Kemer/Tekirova,Stüdyo (1+0),0.0
Kepez/Ahatlı,1+1,-1.2422772895233665
Kepez/Ahatlı,2+0,3.050687891528682
Kepez/Ahatlı,2+1,0.9070890317979436
Kepez/Ahatlı,3+0,0.0
Kepez/Ahatlı,3+1,-9.783350500154816
Kepez/Ahatlı,4+4,0.0
Kepez/Ahatlı,5+1,0.0
Kepez/Ahatlı,Stüdyo (1+0),1.7937850327207678
Kepez/Dokuma,1+1,-3.9606557377049088
Kepez/Dokuma,1.5+1,0.0
Kepez/Dokuma,2+0,0.0
Kepez/Dokuma,2+1,0.5382824839970171
Kepez/Dokuma,3+0,0.0
Kepez/Dokuma,3+1,0.9145290304785579
Kepez/Dokuma,4+1,3.896103896103896
Kepez/Dokuma,Stüdyo (1+0),3.896103896103896
Kepez/Duraliler,1+1,-11.24048438094001
Kepez/Duraliler,2+0,9.353893787848882
Kepez/Duraliler,2+1,-0.3542560622692331
Kepez/Duraliler,3+1,-8.791057677196287
Kepez/Duraliler,3.5+1,0.0
Kepez/Duraliler,4+1,0.0
Kepez/Duraliler,4+2,-48.51485148514851
Kepez/Duraliler,6+1,0.0
Kepez/Duraliler,Stüdyo (1+0),-1.4029995162070608
Kepez/Düdenbaşı,1+1,3.0058258432199803
Kepez/Düdenbaşı,2+1,0.01122553276969679
